iter	Passed	Remaining
0	0	60
1	1	56
2	1	53
3	2	49
4	2	49
5	3	48
6	3	47
7	4	47
8	4	46
9	5	46
10	5	45
11	6	45
12	6	44
13	7	44
14	7	44
15	8	44
16	8	43
17	9	43
18	9	42
19	10	41
20	11	41
21	11	40
22	12	40
23	12	39
24	13	39
25	13	39
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	31
39	20	31
40	21	30
41	21	29
42	21	29
43	22	28
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	26	24
52	27	23
53	27	23
54	27	22
55	28	22
56	28	21
57	29	21
58	29	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	38	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	43	8
84	43	7
85	44	7
86	45	6
87	45	6
88	46	5
89	47	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
